Text,Class
"Высшее профильное образование (строительное, архитектурное). Опыт успешной реализации проектов <highlighttext>строительства</highlighttext> и реконструкции.",requirements
"...<highlighttext>строительству</highlighttext>, контроль работы подрядчиков. Управление бюджетом <highlighttext>строительства</highlighttext>, обеспечение регулярной отчетности. Обеспечение контролем за безопасным выполнением работ. Планирование, контроль сроков <highlighttext>строительства</highlighttext>. ",responsibilities
Успешный специалист с опытом работы в крупных компаниях и участия в реализации проектов стоимостью более 1 млрд. руб. ,requirements
Взаимодействие с генподрядчиком и авторским надзором. Управление площадкой и монтажными работами. Координация всех участников работы над проектом. Сдача проекта и...,responsibilities
"Стремление к развитию. Приветствуется опыт работы в строительной сфере. Можно без опыта, обучим. Грамотная устная и письменная речь. Умение считать. ",requirements
"Работа в офисе за компьютером: Internet, 1С - Управление Торговлей, Office, Кровля Профи,чат Cleversite, эл. почта и т.п. ",responsibilities
"Знание нормативных документов в области ценообразования в <highlighttext>строительстве</highlighttext>. Гипервнимательность в работе с документами. Если вы читаете внимательно, то в ответе...",requirements
"Настраивать программу Smeta.RU на работу со всеми нормативными базами. Задавать параметры для базисного, базисно-индексного и ресурсного метода расчета смет. ",responsibilities
Умение тыкать пальцем в телефон и отправлять сообщения в WhatsApp. Самостоятельность. Готовность приступить к действиям. Опыт переговоров.,requirements
Отправлять готовые шаблоны текстовых или голосовых сообщений/ прозванивать базу горячих Лидов на <highlighttext>строительство</highlighttext> и заполнять данные в AMO CRM. ,responsibilities
"Помощник Прораба, Мастер Стройка Руководитель участка, Прораб Строительные работы Плоская кровля Скатная кровля Ремонт крыш Кровельные работы Директор стройки <highlighttext>Строитель</highlighttext>.",responsibilities
"Хотите хорошо зарабатывать и стремитесь к развитию финансовому и личностному. Не боитесь звонить незнакомому клиенту, вы готовы на первом этапе...",requirements
"Далее звонить по существующей базе <highlighttext>строителей</highlighttext> и назначать встречи, отправлять материалы на пробу, получать технические задания, делать расчеты. ",responsibilities
"Опыт: - глубокое понимание: инженерные системы, строительные работы, сервисные задачи, программы: MS Office, Google Docs, Битрикс 24. - базовые навыки: уход за...",requirements
"Планирование, координация, контроль выполнения работ подрядчиков и персонала. <highlighttext>СТРОИТЕЛЬСТВО</highlighttext> И РЕМОНТ. Гранит, мрамор, брусчатка, архикамень, ремонт и отделка стен под...",responsibilities
умение работать в Excel. - умение выстраивать хорошую коммуникацию с подрядчиками-<highlighttext>строителями</highlighttext>. - умение находить общий язык ( решение спорных ситуаций с подрядчиками ). - ,requirements
Работа БЕЗ ПОИСКА клиентов и БЕЗ холодных звонков! - прием заявок от отдела продаж на выполнение работ по бурению и обустройству...,responsibilities
AutoCad/NanoCad. MS Word + MS Excel на проф.уровне. Графический редактор (любой). Работа с документами в формате PDF.,requirements
...в <highlighttext>строительстве</highlighttext>. Состав элементов временной строительной инфраструктуры. Методы составления и требования к оформлению календарных планов и поточных графиков в <highlighttext>строительстве</highlighttext>. ,responsibilities
опыт работы мастером отделочных работ от года. – смартфон и опыт использования приложений.,requirements
"Вы получаете доступ ко всей базе заказов по отделочным работам – выравниванию и покраске стен, поклейке обоев, укладке плитки, облицовке стен...",responsibilities
"Высшее, законченное, очное образование по специальности Инженер <highlighttext>строитель</highlighttext>, факультет ПГС (промышленное и гражданское <highlighttext>строительство</highlighttext>). Опыт работы в строительных компаниях не...",requirements
"Организация разработки планов капитального <highlighttext>строительства</highlighttext>, составление титульных списков на все объекты капитального <highlighttext>строительства</highlighttext>. Контроль получения и передачи в ОКС необходимой...",responsibilities
"Очень желательно - профильное высшее образование (ПГС - Промышленное и гражданское <highlighttext>строительство</highlighttext>, в крайнем случае - Архитектура и <highlighttext>строительство</highlighttext>). Минимум от 3 лет...",requirements
